Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,1109.0,18.0,33.0,1109.0,0.1,21.206000000000017,0.0,0.0,101.73476672172546,,,,,,,,,,,,,,,,,,,,,6.804768309180983,7.314448599833747,21.02346855944737,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1157.0,19.0,48.0,1157.0,0.1,20.71200000000004,0.0,0.0,106.3375813961029,,,,,,,,,,,,,,,,,,,,,4.7244222791989765,6.49257797750678,20.526259723786307,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1193.0,20.0,36.0,1193.0,0.1,22.20700000000002,0.0,0.0,110.06481409072876,,,,,,,,,,,,,,,,,,,,,6.759020770904141,7.623850502082496,22.00766858174236,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,48.0,1.0,48.0,1241.0,0.1,33.708999999999975,0.0,0.0,218.9622905254364,,,,,,,,,,,,,,,,,,,,,11.369222349188314,11.344938394852786,33.229703504544545,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,90.0,2.0,42.0,1283.0,0.1,25.108000000000022,0.0,0.0,223.08814406394958,,,,,,,,,,,,,,,,,,,,,7.3279779454368175,8.47243895644941,24.849899876144068,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,120.0,3.0,30.0,1313.0,0.1,16.107000000000006,0.0,0.0,226.20156836509705,,,,,,,,,,,,,,,,,,,,,4.5602916442324615,5.530037818891392,16.00217960770884,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,178.0,4.0,58.0,1371.0,0.1,29.810000000000038,0.0,0.0,231.7943730354309,,,,,,,,,,,,,,,,,,,,,7.767489717873213,9.41191269960613,29.41829276359779,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,272.0,5.0,94.0,1465.0,0.1,72.90800000000006,0.0,0.0,240.37023615837097,,,,,,,,,,,,,,,,,,,,,26.120691071199026,22.4653487162727,70.59377198951434,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,365.0,6.0,93.0,1558.0,0.1,62.60900000000005,0.0,0.0,249.0382342338562,,,,,,,,,,,,,,,,,,,,,24.916557608607686,19.752883367384985,60.412524779433554,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,398.0,7.0,33.0,1591.0,0.1,19.807000000000016,0.0,0.0,252.46044731140137,,,,,,,,,,,,,,,,,,,,,6.012883621009323,6.814662811768116,19.647850894444698,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
