Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
11,0.0,0.0,0.0,513.0,11.0,60.0,513.0,0.1,23.20700000000002,0.0,0.0,43.93779921531677,,,,,,,,,,,,,,,,,,,,,7.540014042482014,6.582143905596451,22.800176710695762,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,568.0,12.0,55.0,568.0,0.1,25.906000000000034,0.0,0.0,49.02912616729736,,,,,,,,,,,,,,,,,,,,,9.187861643167988,7.38472925492983,25.45154524857768,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,590.0,13.0,22.0,590.0,0.1,9.505999999999995,0.0,0.0,51.497573375701904,,,,,,,,,,,,,,,,,,,,,2.790929790351692,3.3714616147068397,9.4635171153258,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,628.0,14.0,38.0,628.0,0.1,18.809000000000022,0.0,0.0,55.15287923812866,,,,,,,,,,,,,,,,,,,,,5.53363534066901,6.397201628791095,18.63597517142226,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,650.0,15.0,22.0,650.0,0.1,8.105999999999995,0.0,0.0,57.40134787559509,,,,,,,,,,,,,,,,,,,,,2.2070145280664386,2.793669971522931,8.073584776350462,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,681.0,16.0,31.0,681.0,0.1,14.306999999999993,0.0,0.0,60.40628504753113,,,,,,,,,,,,,,,,,,,,,4.142324899915635,4.897824618474077,14.206987696507936,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,736.0,17.0,55.0,736.0,0.1,32.407999999999994,0.0,0.0,65.47704005241394,,,,,,,,,,,,,,,,,,,,,11.48407311989912,10.676262987174002,31.840024186754874,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,775.0,18.0,39.0,775.0,0.1,21.80700000000002,0.0,0.0,69.4213318824768,,,,,,,,,,,,,,,,,,,,,7.049464502564042,7.463188176883043,21.575199708617532,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,820.0,19.0,45.0,820.0,0.1,23.208000000000027,0.0,0.0,73.67075228691101,,,,,,,,,,,,,,,,,,,,,6.944192760853675,7.789802771995686,22.941371126643748,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,858.0,20.0,38.0,858.0,0.1,17.408000000000023,0.0,0.0,77.33033180236816,,,,,,,,,,,,,,,,,,,,,4.983819275318685,5.777358227455046,17.25310382207823,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,114.0,1.0,114.0,972.0,0.1,56.010000000000005,0.0,0.0,164.31732654571533,,,,,,,,,,,,,,,,,,,,,20.660493696216275,17.269178169903718,53.762174305067205,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,188.0,2.0,74.0,1046.0,0.1,43.213999999999984,0.0,0.0,171.32700443267822,,,,,,,,,,,,,,,,,,,,,13.627736161816983,14.262240144159913,42.290085404749625,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,230.0,3.0,42.0,1088.0,0.1,19.209000000000028,0.0,0.0,175.43096733093262,,,,,,,,,,,,,,,,,,,,,5.302913582956675,6.374580638772479,19.024307219647902,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,275.0,4.0,45.0,1133.0,0.1,23.507000000000016,0.0,0.0,179.6572654247284,,,,,,,,,,,,,,,,,,,,,8.91728197867229,7.4995704666045535,23.152003165287155,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,327.0,5.0,52.0,1185.0,0.1,37.205999999999996,0.0,0.0,184.4630365371704,,,,,,,,,,,,,,,,,,,,,14.28881127583599,12.48119126290741,36.53601731226374,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,376.0,6.0,49.0,1234.0,0.1,35.50699999999999,0.0,0.0,189.22891402244568,,,,,,,,,,,,,,,,,,,,,13.830758844620071,11.952986704420429,34.89905602961682,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,478.0,7.0,102.0,1336.0,0.1,50.42299999999998,0.0,0.0,198.31882333755493,,,,,,,,,,,,,,,,,,,,,17.709248517610593,13.378190304822775,48.71403600918609,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,579.0,8.0,101.0,1437.0,0.1,39.60600000000004,0.0,0.0,207.35062646865845,,,,,,,,,,,,,,,,,,,,,17.023456960215977,10.793394472914958,37.96251792034096,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,658.0,9.0,79.0,1516.0,0.1,23.01200000000008,0.0,0.0,214.50436735153198,,,,,,,,,,,,,,,,,,,,,5.054533810256259,6.208689965088845,22.657985141287206,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,715.0,10.0,57.0,1573.0,0.1,30.01400000000003,0.0,0.0,219.90248155593872,,,,,,,,,,,,,,,,,,,,,8.813609972605878,10.018664389660955,29.570736133091515,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,754.0,11.0,39.0,1612.0,0.1,23.607000000000017,0.0,0.0,223.86690855026245,,,,,,,,,,,,,,,,,,,,,8.111845973863497,8.117307243222157,23.33728924822653,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,851.0,12.0,97.0,1709.0,0.1,24.431,0.0,0.0,232.4952380657196,,,,,,,,,,,,,,,,,,,,,8.937803980999293,5.645099981294144,23.611231866343893,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,901.0,13.0,50.0,1759.0,0.1,17.21400000000003,0.0,0.0,237.1645815372467,,,,,,,,,,,,,,,,,,,,,3.864896018280837,5.297811991986731,17.054847839917958,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,979.0,14.0,78.0,1837.0,0.1,20.50900000000007,0.0,0.0,244.17199325561523,,,,,,,,,,,,,,,,,,,,,4.661254375933247,5.2635644121024106,20.185773519943588,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,1003.0,15.0,24.0,1861.0,0.1,8.507999999999994,0.0,0.0,246.63365149497986,,,,,,,,,,,,,,,,,,,,,2.2074525108850502,2.895450180238988,8.471956580944068,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,1063.0,16.0,60.0,1921.0,0.1,40.00699999999999,0.0,0.0,252.34365582466125,,,,,,,,,,,,,,,,,,,,,16.424882541977592,12.784919000627465,39.09966728237881,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,1146.0,17.0,83.0,2004.0,0.1,45.210000000000015,0.0,0.0,259.81888484954834,,,,,,,,,,,,,,,,,,,,,13.425140402052467,14.642426165083572,44.184037237066555,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,1177.0,18.0,31.0,2035.0,0.1,13.306999999999993,0.0,0.0,263.0067276954651,,,,,,,,,,,,,,,,,,,,,3.7414135323014994,4.472247804873418,13.217437838738293,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1210.0,19.0,33.0,2068.0,0.1,14.406999999999993,0.0,0.0,266.3375120162964,,,,,,,,,,,,,,,,,,,,,4.0529816370788145,4.8198986767374015,14.30184098610763,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1310.0,20.0,100.0,2168.0,0.1,25.234000000000094,0.0,0.0,275.2543144226074,,,,,,,,,,,,,,,,,,,,,7.048605891430937,5.785209037037332,24.578271375336204,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,32.0,1.0,32.0,2200.0,0.1,18.007000000000016,0.0,0.0,387.9745976924896,,,,,,,,,,,,,,,,,,,,,5.968924057862513,6.28535859262927,17.851679938345157,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,72.0,2.0,40.0,2240.0,0.1,13.00999999999999,0.0,0.0,392.03949642181396,,,,,,,,,,,,,,,,,,,,,3.014923120918719,4.009830426134208,12.915220601144945,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,184.0,3.0,112.0,2352.0,0.1,22.522000000000116,0.0,0.0,401.980575799942,,,,,,,,,,,,,,,,,,,,,4.960377982982945,5.109530070439084,22.010436528526434,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,245.0,4.0,61.0,2413.0,0.1,42.80799999999999,0.0,0.0,407.60405135154724,,,,,,,,,,,,,,,,,,,,,15.949285334987497,14.297514278827702,41.91888945458549,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,287.0,5.0,42.0,2455.0,0.1,25.20800000000002,0.0,0.0,411.6439256668091,,,,,,,,,,,,,,,,,,,,,8.497786368487183,8.655206917982875,24.90086981127628,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,324.0,6.0,37.0,2492.0,0.1,16.409000000000013,0.0,0.0,415.23878622055054,,,,,,,,,,,,,,,,,,,,,4.522928209994767,5.479890233818573,16.27418374954554,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,393.0,7.0,69.0,2561.0,0.1,48.70999999999999,0.0,0.0,421.8063931465149,,,,,,,,,,,,,,,,,,,,,18.08228459610506,16.158985554299324,47.55738958464847,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,488.0,8.0,95.0,2656.0,0.1,52.80600000000003,0.0,0.0,430.38133811950684,,,,,,,,,,,,,,,,,,,,,17.782887048843875,15.435882166494343,51.21901253642015,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,535.0,9.0,47.0,2703.0,0.1,21.007000000000023,0.0,0.0,434.75830698013306,,,,,,,,,,,,,,,,,,,,,6.453561362741262,6.596922866309368,20.745152175149286,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,572.0,10.0,37.0,2740.0,0.1,16.408000000000012,0.0,0.0,438.31864166259766,,,,,,,,,,,,,,,,,,,,,4.625656263347402,5.4275616851062285,16.269373195273502,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,658.0,11.0,86.0,2826.0,0.1,42.51199999999998,0.0,0.0,446.0695552825928,,,,,,,,,,,,,,,,,,,,,19.919262147567114,12.35929342717936,40.88066390245021,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,727.0,12.0,69.0,2895.0,0.1,49.007999999999996,0.0,0.0,452.66912817955017,,,,,,,,,,,,,,,,,,,,,18.289801093313912,16.24509254274507,47.841639161244665,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,781.0,13.0,54.0,2949.0,0.1,19.112000000000045,0.0,0.0,457.69462847709656,,,,,,,,,,,,,,,,,,,,,4.447301663229139,5.812012378273818,18.909646092724984,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,825.0,14.0,44.0,2993.0,0.1,25.00600000000002,0.0,0.0,461.87779545783997,,,,,,,,,,,,,,,,,,,,,8.159205608298125,8.427850639943246,24.696362982837574,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,852.0,15.0,27.0,3020.0,0.1,10.207999999999993,0.0,0.0,464.6238203048706,,,,,,,,,,,,,,,,,,,,,2.651790846704437,3.455482615185556,10.15670490023455,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,888.0,16.0,36.0,3056.0,0.1,17.80600000000002,0.0,0.0,468.0964422225952,,,,,,,,,,,,,,,,,,,,,5.500547179987252,5.944404760355608,17.643249156584478,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,929.0,17.0,41.0,3097.0,0.1,26.607000000000017,0.0,0.0,472.2933838367462,,,,,,,,,,,,,,,,,,,,,9.587949161364875,9.1459312137304,26.26640061922187,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,986.0,18.0,57.0,3154.0,0.1,32.70799999999999,0.0,0.0,477.5356774330139,,,,,,,,,,,,,,,,,,,,,11.991596696059306,10.362583012317065,32.08862414799646,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1048.0,19.0,62.0,3216.0,0.1,44.30799999999999,0.0,0.0,483.22862124443054,,,,,,,,,,,,,,,,,,,,,16.738630779065645,14.770130740950362,43.35687528539344,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1139.0,20.0,91.0,3307.0,0.1,41.507000000000026,0.0,0.0,491.4460291862488,,,,,,,,,,,,,,,,,,,,,16.035546287771623,11.115061471428175,40.12798112207583,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
