Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,49.0,1.0,49.0,49.0,0.1,24.807000000000013,0.0,0.0,0.005421161651611328,,,,,,,,,,,,,,,,,,,,,9.09593567068832,7.6536093825990275,24.41009493190515,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,88.0,2.0,39.0,88.0,0.1,23.607000000000017,0.0,0.0,3.754751682281494,,,,,,,,,,,,,,,,,,,,,8.111845973863497,8.117307243222157,23.33728924822653,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,127.0,3.0,39.0,127.0,0.1,14.91299999999999,0.0,0.0,7.647897958755493,,,,,,,,,,,,,,,,,,,,,3.600632956499278,4.877002807207692,14.802164842216122,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,223.0,4.0,96.0,223.0,0.1,47.50800000000003,0.0,0.0,16.177405834197998,,,,,,,,,,,,,,,,,,,,,16.595751027152712,12.908991797569673,46.00677544550892,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,262.0,5.0,39.0,262.0,0.1,17.909000000000024,0.0,0.0,19.918481588363647,,,,,,,,,,,,,,,,,,,,,5.047977624062321,5.969911258362676,17.747606337730694,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,298.0,6.0,36.0,298.0,0.1,19.70700000000002,0.0,0.0,23.41364073753357,,,,,,,,,,,,,,,,,,,,,6.3287948732535595,6.776880977897597,19.518180226836325,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,327.0,7.0,29.0,327.0,0.1,10.907999999999992,0.0,0.0,26.274133443832397,,,,,,,,,,,,,,,,,,,,,2.7810958311553837,3.652139066199684,10.849035442746546,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,369.0,8.0,42.0,369.0,0.1,17.709000000000028,0.0,0.0,30.51965045928955,,,,,,,,,,,,,,,,,,,,,4.735762518093179,5.741038374223917,17.545170770610543,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,406.0,9.0,37.0,406.0,0.1,17.90700000000002,0.0,0.0,34.052016735076904,,,,,,,,,,,,,,,,,,,,,5.318798754552021,6.009621403566482,17.745678056516553,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,453.0,10.0,47.0,453.0,0.1,20.81000000000003,0.0,0.0,38.39595293998718,,,,,,,,,,,,,,,,,,,,,5.618267142310923,6.762949813375602,20.587095047310967,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
